lat	lon	NN	PPM_Cu	PPM_Pb	PPM_Zn	PPM_Ni	PPM_As	PPM_Cd	PPM_Cr	PPB_Hg	Ti	ef	gi_ic	geo_index	cf
39.33640616	29.25410245	EM-6	13.57	40.79	60.1	33.6	155.6	0.84	24	27	0.043	1.82	0.298666667	-1.74	0.45
39.3356429	29.25071344	EM-7	14.09	35.31	57.7	84.5	96.7	0.28	46.6	10	0.039	4.40	0.751111111	-0.41	1.13
39.34341916	29.27013104	EM-8	16.33	31.72	58.5	68.4	54.2	0.24	36.3	41	0.036	3.07	0.608	-0.72	0.91
39.35727766	29.20777192	Y-1	29.48	18.15	61.5	46.5	157.3	0.22	48.3	38	0.019	1.16	0.413333333	-1.27	0.62
39.35464736	29.20774712	Y-2	16.29	50.33	92.7	25.8	46.1	0.64	21.7	60	0.0135	1.16	0.229333333	-2.12	0.34
39.35693402	29.21068563	Y-3	15.62	49.31	118.6	35.1	124.3	0.63	27.1	42	0.0075	1.65	0.312	-1.68	0.47
39.34733509	29.21845918	Y-4	13.69	64.84	99.4	19.6	35.5	0.85	15.9	41	0.0085	1.05	0.174222222	-2.52	0.26
39.35030481	29.21911013	Y-5	35.29	102.74	185.3	37.5	441.9	1.99	21.2	236	0.0075	0.78	0.333333333	-1.58	0.50
39.35244002	29.21627657	Y-6	7.53	7.56	118.2	16	211.4	0.17	13.1	25	0.0055	1.56	0.142222222	-2.81	0.21
39.35447241	29.22308324	Y-7	23.29	42.81	126.3	30.7	65.8	0.47	21.2	65	0.016	0.97	0.272888889	-1.87	0.41
39.35185975	29.22402159	Y-8	14.13	55.94	83.6	27.4	214.9	0.64	17	48	0.016	1.42	0.243555556	-2.04	0.37
39.35328257	29.2202836	Y-9	15.5	64.55	80.9	26.1	79.4	0.38	23.8	76	0.0105	1.23	0.232	-2.11	0.35
39.35349616	29.22089381	Y-10	12.4	40.91	50.4	24.3	48.5	0.18	20.4	42	0.009	1.44	0.216	-2.21	0.32
